experiment,condition,seed,generation_count,gen,population_size,mutation_rate,tournament_size,elite_rate,architecture,parameter_count,input_pattern,weight_profile,best_fitness,avg_fitness
seed_repeat,default_0.05_t3,42,24,0,16,0.05,3,0.2,1x16,242,default,baseline,174.64691605755775,123.93725940568496
seed_repeat,default_0.05_t3,42,24,1,16,0.05,3,0.2,1x16,242,default,baseline,174.64691605755775,148.9639298638253
seed_repeat,default_0.05_t3,42,24,2,16,0.05,3,0.2,1x16,242,default,baseline,174.64691605755775,160.42390611248203
seed_repeat,default_0.05_t3,42,24,3,16,0.05,3,0.2,1x16,242,default,baseline,174.64691605755775,157.5669628087997
seed_repeat,default_0.05_t3,42,24,4,16,0.05,3,0.2,1x16,242,default,baseline,175.73311601712504,164.23801538483656
seed_repeat,default_0.05_t3,42,24,5,16,0.05,3,0.2,1x16,242,default,baseline,175.73311601712504,168.56865332272028
seed_repeat,default_0.05_t3,42,24,6,16,0.05,3,0.2,1x16,242,default,baseline,181.04595937421925,163.04693308673495
seed_repeat,default_0.05_t3,42,24,7,16,0.05,3,0.2,1x16,242,default,baseline,181.04595937421925,174.43551415475696
seed_repeat,default_0.05_t3,42,24,8,16,0.05,3,0.2,1x16,242,default,baseline,189.51639930645035,178.40913634734326
seed_repeat,default_0.05_t3,42,24,9,16,0.05,3,0.2,1x16,242,default,baseline,191.06371560566043,181.1986107018677
seed_repeat,default_0.05_t3,42,24,10,16,0.05,3,0.2,1x16,242,default,baseline,192.8684936039523,186.61038690753907
seed_repeat,default_0.05_t3,42,24,11,16,0.05,3,0.2,1x16,242,default,baseline,193.2444389304991,187.59571831130853
seed_repeat,default_0.05_t3,42,24,12,16,0.05,3,0.2,1x16,242,default,baseline,201.46595515347644,191.1277579053972
seed_repeat,default_0.05_t3,42,24,13,16,0.05,3,0.2,1x16,242,default,baseline,201.46595515347644,194.023417998318
seed_repeat,default_0.05_t3,42,24,14,16,0.05,3,0.2,1x16,242,default,baseline,207.9504699640604,195.6492901170945
seed_repeat,default_0.05_t3,42,24,15,16,0.05,3,0.2,1x16,242,default,baseline,216.4896343896622,199.10776492017902
seed_repeat,default_0.05_t3,42,24,16,16,0.05,3,0.2,1x16,242,default,baseline,227.1099939595582,203.47476562359833
seed_repeat,default_0.05_t3,42,24,17,16,0.05,3,0.2,1x16,242,default,baseline,237.04337215376117,215.14617154052345
seed_repeat,default_0.05_t3,42,24,18,16,0.05,3,0.2,1x16,242,default,baseline,237.04337215376117,220.3149075274634
seed_repeat,default_0.05_t3,42,24,19,16,0.05,3,0.2,1x16,242,default,baseline,238.36310551663848,229.36186104740935
seed_repeat,default_0.05_t3,42,24,20,16,0.05,3,0.2,1x16,242,default,baseline,244.53851842371557,234.49206492460644
seed_repeat,default_0.05_t3,42,24,21,16,0.05,3,0.2,1x16,242,default,baseline,246.51885843893393,239.02489897784602
seed_repeat,default_0.05_t3,42,24,22,16,0.05,3,0.2,1x16,242,default,baseline,249.85659201528796,242.89771888162488
seed_repeat,default_0.05_t3,42,24,23,16,0.05,3,0.2,1x16,242,default,baseline,249.85659201528796,245.86792697423815
seed_repeat,default_0.05_t3,42,24,24,16,0.05,3,0.2,1x16,242,default,baseline,251.0851693890619,247.70110690572403
seed_repeat,default_0.05_t3,43,24,0,16,0.05,3,0.2,1x16,242,default,baseline,173.15606138289232,124.72290905134332
seed_repeat,default_0.05_t3,43,24,1,16,0.05,3,0.2,1x16,242,default,baseline,173.15606138289232,150.26430615530128
seed_repeat,default_0.05_t3,43,24,2,16,0.05,3,0.2,1x16,242,default,baseline,173.15606138289232,155.7818541027758
seed_repeat,default_0.05_t3,43,24,3,16,0.05,3,0.2,1x16,242,default,baseline,175.20696020168583,171.69016608388944
seed_repeat,default_0.05_t3,43,24,4,16,0.05,3,0.2,1x16,242,default,baseline,175.31612099456083,173.33880310772213
seed_repeat,default_0.05_t3,43,24,5,16,0.05,3,0.2,1x16,242,default,baseline,180.24178085092962,174.24790519281134
seed_repeat,default_0.05_t3,43,24,6,16,0.05,3,0.2,1x16,242,default,baseline,180.24178085092962,175.49842200187047
seed_repeat,default_0.05_t3,43,24,7,16,0.05,3,0.2,1x16,242,default,baseline,182.05616110824013,178.981723181118
seed_repeat,default_0.05_t3,43,24,8,16,0.05,3,0.2,1x16,242,default,baseline,182.05616110824013,179.45132426114108
seed_repeat,default_0.05_t3,43,24,9,16,0.05,3,0.2,1x16,242,default,baseline,186.91518196252457,181.53860456998507
seed_repeat,default_0.05_t3,43,24,10,16,0.05,3,0.2,1x16,242,default,baseline,187.03660152145164,182.4380819450007
seed_repeat,default_0.05_t3,43,24,11,16,0.05,3,0.2,1x16,242,default,baseline,189.00196249823074,184.75956957294576
seed_repeat,default_0.05_t3,43,24,12,16,0.05,3,0.2,1x16,242,default,baseline,189.9349304646565,186.23837388327925
seed_repeat,default_0.05_t3,43,24,13,16,0.05,3,0.2,1x16,242,default,baseline,199.75401362312607,189.5414680720853
seed_repeat,default_0.05_t3,43,24,14,16,0.05,3,0.2,1x16,242,default,baseline,209.39590334224113,194.90563859023754
seed_repeat,default_0.05_t3,43,24,15,16,0.05,3,0.2,1x16,242,default,baseline,214.22295133408568,203.18287751702397
seed_repeat,default_0.05_t3,43,24,16,16,0.05,3,0.2,1x16,242,default,baseline,219.6539480246475,206.00853187382694
seed_repeat,default_0.05_t3,43,24,17,16,0.05,3,0.2,1x16,242,default,baseline,219.6539480246475,214.1696783545881
seed_repeat,default_0.05_t3,43,24,18,16,0.05,3,0.2,1x16,242,default,baseline,223.7524350579347,216.4433647922316
seed_repeat,default_0.05_t3,43,24,19,16,0.05,3,0.2,1x16,242,default,baseline,225.37433233571136,220.78950073095154
seed_repeat,default_0.05_t3,43,24,20,16,0.05,3,0.2,1x16,242,default,baseline,227.36087570613455,221.83611540537973
seed_repeat,default_0.05_t3,43,24,21,16,0.05,3,0.2,1x16,242,default,baseline,227.36087570613455,222.82336974762856
seed_repeat,default_0.05_t3,43,24,22,16,0.05,3,0.2,1x16,242,default,baseline,227.61307876818015,225.31617761683515
seed_repeat,default_0.05_t3,43,24,23,16,0.05,3,0.2,1x16,242,default,baseline,228.56808074663303,225.473992653923
seed_repeat,default_0.05_t3,43,24,24,16,0.05,3,0.2,1x16,242,default,baseline,229.11948911724846,226.33227089892588
seed_repeat,default_0.05_t3,44,24,0,16,0.05,3,0.2,1x16,242,default,baseline,175.29002860123632,118.06396367334293
seed_repeat,default_0.05_t3,44,24,1,16,0.05,3,0.2,1x16,242,default,baseline,175.29002860123632,142.8012149356842
seed_repeat,default_0.05_t3,44,24,2,16,0.05,3,0.2,1x16,242,default,baseline,175.29002860123632,147.38241187368334
seed_repeat,default_0.05_t3,44,24,3,16,0.05,3,0.2,1x16,242,default,baseline,177.83604623900192,156.2075035736162
seed_repeat,default_0.05_t3,44,24,4,16,0.05,3,0.2,1x16,242,default,baseline,177.83604623900192,163.223931782735
seed_repeat,default_0.05_t3,44,24,5,16,0.05,3,0.2,1x16,242,default,baseline,179.66967597423496,168.7956577141074
seed_repeat,default_0.05_t3,44,24,6,16,0.05,3,0.2,1x16,242,default,baseline,181.09260359106992,174.38187855523648
seed_repeat,default_0.05_t3,44,24,7,16,0.05,3,0.2,1x16,242,default,baseline,189.2888332219806,179.64147050188967
seed_repeat,default_0.05_t3,44,24,8,16,0.05,3,0.2,1x16,242,default,baseline,189.2888332219806,182.33397063633055
seed_repeat,default_0.05_t3,44,24,9,16,0.05,3,0.2,1x16,242,default,baseline,192.08896761475634,181.58487650369852
seed_repeat,default_0.05_t3,44,24,10,16,0.05,3,0.2,1x16,242,default,baseline,200.63761965609177,182.97355984320444
seed_repeat,default_0.05_t3,44,24,11,16,0.05,3,0.2,1x16,242,default,baseline,200.63761965609177,185.45593433601596
seed_repeat,default_0.05_t3,44,24,12,16,0.05,3,0.2,1x16,242,default,baseline,200.63761965609177,190.51760049039893
seed_repeat,default_0.05_t3,44,24,13,16,0.05,3,0.2,1x16,242,default,baseline,200.63761965609177,189.02587691018977
seed_repeat,default_0.05_t3,44,24,14,16,0.05,3,0.2,1x16,242,default,baseline,205.75322429889232,193.62082110042547
seed_repeat,default_0.05_t3,44,24,15,16,0.05,3,0.2,1x16,242,default,baseline,211.130467051269,198.30842748608612
seed_repeat,default_0.05_t3,44,24,16,16,0.05,3,0.2,1x16,242,default,baseline,218.06895174320277,204.0218192779036
seed_repeat,default_0.05_t3,44,24,17,16,0.05,3,0.2,1x16,242,default,baseline,223.46804655084264,209.86007018268162
seed_repeat,default_0.05_t3,44,24,18,16,0.05,3,0.2,1x16,242,default,baseline,233.22640213152405,215.7187192256182
seed_repeat,default_0.05_t3,44,24,19,16,0.05,3,0.2,1x16,242,default,baseline,238.37767987235574,224.5474181784976
seed_repeat,default_0.05_t3,44,24,20,16,0.05,3,0.2,1x16,242,default,baseline,239.78409147033307,232.2379019330251
seed_repeat,default_0.05_t3,44,24,21,16,0.05,3,0.2,1x16,242,default,baseline,239.98692203473001,235.52293999181802
seed_repeat,default_0.05_t3,44,24,22,16,0.05,3,0.2,1x16,242,default,baseline,244.64785707639834,238.81984234204907
seed_repeat,default_0.05_t3,44,24,23,16,0.05,3,0.2,1x16,242,default,baseline,246.3590526610579,242.20419495980687
seed_repeat,default_0.05_t3,44,24,24,16,0.05,3,0.2,1x16,242,default,baseline,249.45251883665793,244.36452389035423
