mutation_rate,tournament_size,elite_rate,gen,best_fitness,avg_fitness
0.01,2,0.2,0,174.64691605755775,123.93725940568496
0.01,2,0.2,1,174.64691605755775,148.99553432043126
0.01,2,0.2,2,174.64691605755775,156.06185576695083
0.01,2,0.2,3,174.64691605755775,156.5926010780533
0.01,2,0.2,4,174.64691605755775,167.58406341864486
0.01,2,0.2,5,174.64691605755775,167.9322923144382
0.01,2,0.2,6,174.64691605755775,166.45394753164243
0.01,2,0.2,7,174.64691605755775,170.7577754753719
0.01,2,0.2,8,176.75872182713593,167.97504395613583
0.01,2,0.2,9,176.75872182713593,164.66960850343065
0.01,2,0.2,10,176.75872182713593,169.13230060200385
0.01,2,0.2,11,176.75872182713593,170.87314233407486
0.01,2,0.2,12,177.01239486507205,171.30352078576672
0.01,3,0.2,0,174.64691605755775,123.93725940568496
0.01,3,0.2,1,174.64691605755775,148.70600739420235
0.01,3,0.2,2,174.64691605755775,155.8141667171945
0.01,3,0.2,3,174.64691605755775,156.6725724289027
0.01,3,0.2,4,175.6279204710928,168.94804418762544
0.01,3,0.2,5,175.6799453529483,169.03868961590007
0.01,3,0.2,6,175.6799453529483,168.46669427101506
0.01,3,0.2,7,176.45382006829925,172.75010703244408
0.01,3,0.2,8,176.85620788829408,173.65829774182868
0.01,3,0.2,9,177.25953553412808,176.1851122313733
0.01,3,0.2,10,179.8502037254506,176.38014176414904
0.01,3,0.2,11,179.8502037254506,177.44552022729533
0.01,3,0.2,12,182.48868053996978,178.49530807925652
0.01,5,0.2,0,174.64691605755775,123.93725940568496
0.01,5,0.2,1,174.64691605755775,142.20819044935428
0.01,5,0.2,2,174.64691605755775,165.91112488955054
0.01,5,0.2,3,174.8318399243775,170.804178438264
0.01,5,0.2,4,178.01334875276126,174.5082469761679
0.01,5,0.2,5,178.31236936050436,176.16069517934775
0.01,5,0.2,6,183.11295537067832,178.1116037723938
0.01,5,0.2,7,183.26464153400195,179.21402334144648
0.01,5,0.2,8,184.34709114198205,182.6094447919664
0.01,5,0.2,9,184.4787878127501,183.83076438502295
0.01,5,0.2,10,192.12313966560492,184.05813860066303
0.01,5,0.2,11,195.7224186426569,187.12099615923654
0.01,5,0.2,12,195.96437350132294,192.88420724525244
0.05,2,0.2,0,174.64691605755775,123.93725940568496
0.05,2,0.2,1,174.64691605755775,149.93620920056185
0.05,2,0.2,2,174.64691605755775,157.85998522213993
0.05,2,0.2,3,174.64691605755775,156.4434057627304
0.05,2,0.2,4,177.00444361334522,160.47762144433716
0.05,2,0.2,5,177.00444361334522,168.95652055721482
0.05,2,0.2,6,177.00444361334522,169.703305615323
0.05,2,0.2,7,178.55869657021742,166.6397284439706
0.05,2,0.2,8,178.55869657021742,171.5109946737495
0.05,2,0.2,9,178.55869657021742,172.60227541168723
0.05,2,0.2,10,183.99650849784155,173.48488408264632
0.05,2,0.2,11,183.99650849784155,173.60948181958412
0.05,2,0.2,12,183.99650849784155,174.43192542571555
0.05,3,0.2,0,174.64691605755775,123.93725940568496
0.05,3,0.2,1,174.64691605755775,148.9639298638253
0.05,3,0.2,2,174.64691605755775,160.42390611248203
0.05,3,0.2,3,174.64691605755775,157.5669628087997
0.05,3,0.2,4,175.73311601712504,164.23801538483656
0.05,3,0.2,5,175.73311601712504,168.56865332272028
0.05,3,0.2,6,181.04595937421925,163.04693308673495
0.05,3,0.2,7,181.04595937421925,174.43551415475696
0.05,3,0.2,8,189.51639930645035,178.40913634734326
0.05,3,0.2,9,191.06371560566043,181.1986107018677
0.05,3,0.2,10,192.8684936039523,186.61038690753907
0.05,3,0.2,11,193.2444389304991,187.59571831130853
0.05,3,0.2,12,201.46595515347644,191.1277579053972
0.05,5,0.2,0,174.64691605755775,123.93725940568496
0.05,5,0.2,1,174.64691605755775,142.1684547841573
0.05,5,0.2,2,177.01035448107874,167.1107889966467
0.05,5,0.2,3,178.81533655253514,172.1882184242553
0.05,5,0.2,4,184.18047956333288,177.17516950920788
0.05,5,0.2,5,185.86724757250755,181.59663281813707
0.05,5,0.2,6,194.77452628318554,185.4428832735503
0.05,5,0.2,7,194.77452628318554,189.59728998093357
0.05,5,0.2,8,201.37179924747724,194.02275251673774
0.05,5,0.2,9,204.78498562034554,198.47251021873547
0.05,5,0.2,10,211.39744886156626,200.9126528092572
0.05,5,0.2,11,214.09939896365546,206.17918052512906
0.05,5,0.2,12,214.74089423118807,210.29026685157004
0.1,2,0.2,0,174.64691605755775,123.93725940568496
0.1,2,0.2,1,174.64691605755775,149.37007223669153
0.1,2,0.2,2,179.454938074432,162.44767371917834
0.1,2,0.2,3,179.454938074432,160.5577973886389
0.1,2,0.2,4,188.64104988224088,169.15947552808132
0.1,2,0.2,5,188.64104988224088,169.2095476096639
0.1,2,0.2,6,197.65997563283975,175.2072053764677
0.1,2,0.2,7,197.65997563283975,179.7930091053567
0.1,2,0.2,8,205.74171595377086,183.59342279669772
0.1,2,0.2,9,205.74171595377086,189.2394593443984
0.1,2,0.2,10,207.75487317114624,191.60625130463288
0.1,2,0.2,11,207.81337801444852,197.60972351310983
0.1,2,0.2,12,215.53140792049413,201.1726778734637
0.1,3,0.2,0,174.64691605755775,123.93725940568496
0.1,3,0.2,1,174.64691605755775,148.79591845679388
0.1,3,0.2,2,174.66219396854976,163.22584622956958
0.1,3,0.2,3,180.01726137841558,155.17600234303376
0.1,3,0.2,4,181.02223060205245,169.78360806680521
0.1,3,0.2,5,212.3330689543975,176.03394324375012
0.1,3,0.2,6,214.64576484768938,185.2244492624174
0.1,3,0.2,7,214.64576484768938,191.09197943814706
0.1,3,0.2,8,218.0101531053497,206.42799825291644
0.1,3,0.2,9,224.81775919251862,210.7381212220742
0.1,3,0.2,10,227.53847238571493,214.7015612243692
0.1,3,0.2,11,231.85939764386904,218.75657511920718
0.1,3,0.2,12,231.85939764386904,225.62726180644208
0.1,5,0.2,0,174.64691605755775,123.93725940568496
